github.com/AlDanial/cloc v 2.08  T=13.35 s (354.8 files/s, 95394.0 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                  blank        comment           code
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
./frontend/package-lock.json                                                                                                                              0              0           8872
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/idna/uts46data.py                                                                              174              3           8664
./backend/.venv/lib/python3.11/site-packages/passlib/_data/wordsets/eff_long.txt                                                                          0              0           7776
./backend/.venv/lib/python3.11/site-packages/sqlglot/parser.py                                                                                         1522            296           6777
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/compiler.py                                                                                1297           1081           5705
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_lasso_builtins.py                                                                           3              7           5316
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_lilypond_builtins.py                                                                       25              9           5150
./backend/.venv/lib/python3.11/site-packages/sqlglot/expressions.py                                                                                    2284           1681           4959
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/idna/idnadata.py                                                                                 2              1           4306
./.venv/lib/python3.11/site-packages/pydantic_core-2.46.0.dist-info/sboms/pydantic-core.cyclonedx.json                                                    0              0           3969
./backend/.venv/lib/python3.11/site-packages/sqlglot/generator.py                                                                                       984            212           3814
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/rich/_emoji_codes.py                                                                             0              0           3610
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/selectable.py                                                                              1586           2299           3380
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_php_builtins.py                                                                            18             10           3300
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/elements.py                                                                                1161           1155           3273
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/matlab.py                                                                                   74             99           3134
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/testing/suite/test_reflection.py                                                                387             80           3090
./backend/.venv/lib/python3.11/site-packages/redis/commands/core.py                                                                                    1108           2464           3088
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/dialects/postgresql/base.py                                                                     868           1441           3069
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_scilab_builtins.py                                                                         16             12           3065
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/schema.py                                                                                  1194           2133           2898
./backend/.venv/lib/python3.11/site-packages/jiter-0.14.0.dist-info/sboms/jiter-python.cyclonedx.json                                                     0              0           2629
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_openedge_builtins.py                                                                        3              7           2590
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/strategies.py                                                                               475            436           2571
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/session.py                                                                                 1049           1724           2507
./backend/.venv/lib/python3.11/site-packages/fastapi/routing.py                                                                                         582           1869           2505
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/mapper.py                                                                                   750           1205           2489
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/relationships.py                                                                            519            514           2475
./backend/.venv/lib/python3.11/site-packages/typing_extensions.py                                                                                       734           1111           2472
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/lisp.py                                                                                    289            400           2463
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/context.py                                                                                  527            398           2409
./backend/.venv/lib/python3.11/site-packages/uvloop/loop.pyx                                                                                            617            401           2406
./.venv/lib/python3.11/site-packages/pydantic_core/core_schema.py                                                                                       623           1483           2355
./backend/.venv/lib/python3.11/site-packages/anyio/_backends/_asyncio.py                                                                                508            137           2351
./backend/.venv/lib/python3.11/site-packages/pydantic_core/core_schema.py                                                                               621           1481           2333
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/dialects/oracle/base.py                                                                         588            898           2320
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/dialects/mysql/base.py                                                                          649            998           2302
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/dialects/mssql/base.py                                                                          721           1138           2255
./.venv/lib/python3.11/site-packages/pydantic/_internal/_generate_schema.py                                                                             392            358           2174
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/pkg_resources/__init__.py                                                                      668            835           2173
./backend/.venv/lib/python3.11/site-packages/pydantic/_internal/_generate_schema.py                                                                     387            341           2139
./backend/.venv/lib/python3.11/site-packages/passlib/_data/wordsets/bip39.txt                                                                             1              0           2048
./backend/.venv/lib/python3.11/site-packages/setuptools/_vendor/more_itertools/more.py                                                                 1155           2151           1997
./backend/.venv/lib/python3.11/site-packages/passlib/tests/utils.py                                                                                     547           1099           1975
./backend/.venv/lib/python3.11/site-packages/setuptools/_vendor/backports/tarfile/__init__.py                                                           367            627           1943
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/attributes.py                                                                               494            418           1933
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_vim_builtins.py                                                                             7              9           1922
./backend/.venv/lib/python3.11/site-packages/cryptography/x509/extensions.py                                                                            526             51           1900
./frontend/.next/standalone/.next/react-loadable-manifest.json                                                                                            0              0           1886
./backend/.venv/lib/python3.11/site-packages/fastapi/applications.py                                                                                    666           2235           1848
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/macaulay2.py                                                                                12              9           1826
./backend/.venv/lib/python3.11/site-packages/openai/resources/beta/threads/runs/runs.py                                                                 347            909           1824
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/sqltypes.py                                                                                 957           1171           1802
./backend/.venv/lib/python3.11/site-packages/anthropic/_base_client.py                                                                                  347            189           1735
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/engine/base.py                                                                                  661            995           1734
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/engine/default.py                                                                               395            273           1726
./backend/.venv/lib/python3.11/site-packages/pycparser/c_parser.py                                                                                      279            381           1716
./backend/.venv/lib/python3.11/site-packages/click/core.py                                                                                              611           1113           1713
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/rich/console.py                                                                                379            598           1703
./backend/.venv/lib/python3.11/site-packages/redis/cluster.py                                                                                           271            684           1695
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/testing/suite/test_select.py                                                                    293             36           1681
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/testing/suite/test_types.py                                                                     383            100           1664
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/bulk_persistence.py                                                                         293            186           1656
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_asy_builtins.py                                                                             5             11           1628
./backend/.venv/lib/python3.11/site-packages/alembic/operations/ops.py                                                                                  453            859           1606
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/decl_base.py                                                                                315            275           1602
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_scheme_builtins.py                                                                          6              9           1594
./backend/.venv/lib/python3.11/site-packages/anthropic/resources/beta/messages/messages.py                                                              670           1555           1586
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/templates.py                                                                               383            399           1573
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/util.py                                                                                     416            438           1549
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/dialects/sqlite/base.py                                                                         539            972           1545
./backend/.venv/lib/python3.11/site-packages/openai/_base_client.py                                                                                     322            181           1524
./backend/.venv/lib/python3.11/site-packages/_pytest/config/__init__.py                                                                                 314            411           1478
./.venv/lib/python3.11/site-packages/pydantic/json_schema.py                                                                                            536            910           1468
./backend/.venv/lib/python3.11/site-packages/pydantic/json_schema.py                                                                                    521            874           1459
./backend/.venv/lib/python3.11/site-packages/httpx/_client.py                                                                                           249            337           1433
